RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,PCT FAIRWAYS HIT,FAIRWAYS HIT,POSSIBLE FAIRWAYS,YEAR
1,1,Jim Furyk,39,74.5,406,545,2020
2,2,Ryan Armour,60,73.86,599,811,2020
3,3,Brian Stuard,83,71.84,814,"1,133",2020
4,4,Brendon Todd,86,71.36,862,"1,208",2020
5,5,Kyle Stanley,57,71.29,529,742,2020
6,6,Tyler Duncan,83,69.87,814,"1,165",2020
7,7,Chez Reavie,77,69.73,751,"1,077",2020
8,8,Henrik Norlander,74,69.57,720,"1,035",2020
9,9,Chris Baker,53,69.49,476,685,2020
10,10,Jim Herman,60,69.28,584,843,2020
11,11,Ryan Moore,48,68.63,420,612,2020
12,12,David Hearn,55,68.44,488,713,2020
T13,T13,Tim Wilkinson,50,68.27,439,643,2020
T13,T13,Doc Redman,82,68.27,783,"1,147",2020
15,15,Josh Teater,43,68.24,391,573,2020
16,16,Vaughn Taylor,61,67.84,576,849,2020
17,18,Scott Brown,64,67.37,603,895,2020
18,17,Webb Simpson,52,67.31,490,728,2020
19,19,Kramer Hickok,51,67.15,460,685,2020
20,20,Corey Conners,74,67.08,695,"1,036",2020
21,21,Austin Cook,64,66.75,560,839,2020
22,22,Chesson Hadley,62,66.71,541,811,2020
23,23,Arjun Atwal,35,66.51,288,433,2020
24,24,Jason Dufner,62,66.44,576,867,2020
25,T25,Emiliano Grillo,69,66.11,599,906,2020
26,27,Kevin Streelman,73,65.88,670,"1,017",2020
27,28,Matt Kuchar,56,65.82,518,787,2020
28,29,Fabián Gómez,59,65.8,506,769,2020
29,31,Andrew Landry,63,65.72,579,881,2020
30,32,Russell Henley,67,65.65,579,882,2020
31,33,Collin Morikawa,80,65.54,734,"1,120",2020
32,34,Michael Thompson,62,65.4,567,867,2020
33,T25,Kevin Kisner,73,65.23,666,"1,021",2020
34,35,Kyoung-Hoon Lee,76,64.98,655,"1,008",2020
35,36,Rickie Fowler,44,64.84,402,620,2020
36,38,D.J. Trahan,49,64.69,425,657,2020
37,39,Lucas Glover,67,64.63,603,933,2020
T38,T40,Joel Dahmen,79,64.58,711,"1,101",2020
T38,T40,Matthew Fitzpatrick,54,64.58,485,751,2020
40,43,Adam Hadwin,65,64.53,584,905,2020
41,44,Troy Merritt,72,64.52,611,947,2020
42,48,Sungjae Im,94,64.48,846,"1,312",2020
43,42,Abraham Ancer,74,64.44,665,"1,032",2020
44,45,Ben Martin,38,64.41,324,503,2020
45,46,Brice Garnett,58,64.36,522,811,2020
46,49,Nick Taylor,59,64.24,530,825,2020
47,50,Matthew NeSmith,72,64.14,610,951,2020
48,37,Daniel Berger,64,63.86,569,891,2020
T49,T52,J.T. Poston,78,63.74,696,"1,092",2020
T49,T52,Martin Laird,39,63.74,348,546,2020
51,54,Doug Ghim,44,63.69,356,559,2020
52,55,Paul Casey,56,63.6,498,783,2020
53,56,Brian Harman,78,63.28,691,"1,092",2020
54,T57,Viktor Hovland,74,63.24,652,"1,031",2020
55,T57,Bo Hoag,71,63.18,592,937,2020
56,47,Jon Rahm,58,63.11,515,816,2020
57,59,Rob Oppenheim,65,62.95,537,853,2020
58,60,Mark Hubbard,86,62.84,756,"1,203",2020
59,51,Billy Horschel,79,62.79,692,"1,102",2020
60,61,Zach Johnson,61,62.76,536,854,2020
61,62,Pat Perez,59,62.75,480,765,2020
62,64,Kevin Na,71,62.74,623,993,2020
63,63,Scott Piercy,66,62.68,576,919,2020
64,65,Zac Blair,70,62.62,578,923,2020
65,66,Wes Roach,42,62.61,350,559,2020
66,67,Rafa Cabrera Bello,53,62.55,461,737,2020
