RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,PCT SAND SAVES,NUM SAND SAVES,NUM BUNKERS,TOTAL O/U PAR,YEAR
1,1,Bud Cauley,65,66.99,69,103,21,2020
2,2,Jason Day,53,65.49,74,113,11,2020
3,3,Adam Hadwin,65,65.05,67,103,18,2020
4,T8,Bryson DeChambeau,62,62.89,61,97,8,2020
5,5,Justin Thomas,66,62.5,65,104,21,2020
6,6,Brendon Todd,86,61.6,77,125,26,2020
7,7,Shane Lowry,44,61.54,40,65,12,2020
8,T8,Maverick McNealy,80,61.36,81,132,34,2020
9,10,Justin Rose,38,61.29,38,62,13,2020
10,11,Brian Harman,78,60.98,75,123,29,2020
11,12,Patrick Reed,74,60.61,80,132,30,2020
12,13,Rory Sabbatini,66,59.83,70,117,27,2020
13,29,Daniel Berger,64,59.81,64,107,18,2020
14,14,Matt Wallace,44,59.3,51,86,35,2020
T15,15,Sungjae Im,94,58.82,90,153,33,2020
T15,53,Jon Rahm,58,58.82,50,85,14,2020
17,17,Alex Noren,60,58.59,58,99,23,2020
18,18,Matt Kuchar,56,58.43,52,89,21,2020
19,19,Matt Jones,76,58.33,84,144,27,2020
20,20,Fabián Gómez,59,58.23,46,79,19,2020
21,21,Brandon Hagy,50,58.21,39,67,13,2020
22,22,Pat Perez,59,57.83,48,83,29,2020
23,23,Scott Harrington,68,57.72,71,123,23,2020
24,24,Peter Uihlein,47,57.69,30,52,10,2020
25,16,Cameron Smith,64,57.52,65,113,40,2020
26,25,J.T. Poston,78,57.25,79,138,31,2020
27,26,Michael Thompson,62,57.14,60,105,25,2020
28,27,Cameron Davis,62,56.99,53,93,19,2020
29,28,Tommy Fleetwood,40,56.92,37,65,11,2020
30,30,Danny Willett,40,56.76,42,74,8,2020
31,31,Chez Reavie,77,56.67,68,120,32,2020
32,32,Phil Mickelson,51,56.6,60,106,27,2020
33,T68,Xander Schauffele,70,56.44,57,101,17,2020
34,T49,Webb Simpson,52,56.34,40,71,10,2020
T35,T34,Aaron Baddeley,49,56.25,45,80,20,2020
T35,T34,Rhein Gibson,54,56.25,45,80,24,2020
37,36,Russell Henley,67,55.7,44,79,22,2020
T38,33,Kevin Na,71,55.56,85,153,37,2020
T38,37,Brandt Snedeker,53,55.56,50,90,23,2020
40,38,Russell Knox,67,55.43,51,92,22,2020
41,39,Patrick Cantlay,46,55.41,41,74,7,2020
T42,T42,Adam Scott,38,55.07,38,69,17,2020
T42,T42,Sergio Garcia,44,55.07,38,69,14,2020
44,51,Hideki Matsuyama,74,55.04,71,129,26,2020
45,44,Doc Redman,82,55,66,120,38,2020
46,45,Mark Anderson,51,54.88,45,82,26,2020
47,55,Lanto Griffin,96,54.49,91,167,32,2020
48,48,Roger Sloan,55,54.44,49,90,41,2020
49,47,Mackenzie Hughes,70,54.4,68,125,35,2020
50,40,Dustin Johnson,49,54.17,39,72,26,2020
51,52,Ian Poulter,48,54,54,100,35,2020
52,41,Collin Morikawa,80,53.97,68,126,35,2020
53,54,Luke List,69,53.85,56,104,36,2020
T54,T57,Charley Hoffman,63,53.4,55,103,30,2020
T54,T57,Wyndham Clark,65,53.4,55,103,40,2020
T56,T59,Chris Stroud,48,53.33,40,75,20,2020
T56,T59,Bronson Burgoon,55,53.33,40,75,17,2020
58,61,Kyoung-Hoon Lee,76,53.28,73,137,38,2020
59,62,Branden Grace,43,53.13,34,64,16,2020
60,63,Danny Lee,69,53.08,69,130,35,2020
61,T66,Kevin Streelman,73,52.94,63,119,45,2020
62,T68,Rob Oppenheim,65,52.69,49,93,33,2020
63,70,Doug Ghim,44,52.63,30,57,24,2020
64,71,Jason Dufner,62,52.58,51,97,31,2020
65,72,Aaron Wise,49,52.38,33,63,10,2020
66,73,Andrew Putnam,46,51.9,41,79,38,2020
67,75,Beau Hossler,71,51.82,57,110,36,2020
68,76,Sepp Straka,70,51.79,58,112,34,2020
69,77,Anirban Lahiri,35,51.67,31,60,14,2020
T70,78,Seamus Power,36,51.35,19,37,15,2020
T70,65,Joaquin Niemann,76,51.35,57,111,32,2020
72,74,Harris English,76,51.3,59,115,25,2020
73,79,Keegan Bradley,68,51.28,60,117,45,2020
74,80,Talor Gooch,83,51.02,75,147,58,2020
75,T83,Richy Werenski,60,50.94,54,106,30,2020
76,81,Kevin Kisner,73,50.89,57,112,37,2020
T77,T85,Bill Haas,46,50.79,32,63,15,2020
T77,T85,Michael Gligic,52,50.79,32,63,26,2020
T77,T85,Zac Blair,70,50.79,64,126,57,2020
80,88,Chris Baker,53,50.77,33,65,21,2020
T81,T89,Byeong Hun An,75,50.71,71,140,44,2020
T81,T89,Joel Dahmen,79,50.71,71,140,48,2020
83,91,Dylan Frittelli,82,50.69,73,144,42,2020
84,92,Zach Johnson,61,50.56,45,89,39,2020
85,93,Charles Howell III,69,50.48,53,105,34,2020
T86,T94,Arjun Atwal,35,50,23,46,12,2020
T86,82,Ryan Palmer,68,50,58,116,39,2020
T86,114,Billy Horschel,79,50,69,138,51,2020
T86,T94,Cameron Tringale,63,50,43,86,28,2020
T86,T94,Brian Stuard,83,50,64,128,46,2020
T86,T94,Xinjun Zhang,77,50,69,138,52,2020
T86,100,Sebastián Muñoz,84,50,62,124,36,2020
T86,T94,Will Gordon,36,50,17,34,8,2020
94,99,Denny McCarthy,81,49.64,68,137,50,2020
95,101,Matthew NeSmith,72,49.48,48,97,21,2020
96,102,Brendan Steele,68,49.46,46,93,35,2020
97,103,Hank Lebioda,57,49.45,45,91,28,2020
T98,T104,Si Woo Kim,78,49.32,72,146,34,2020
T98,T104,Ryan Brehm,52,49.32,36,73,39,2020
T100,T106,Lucas Glover,67,49.18,60,122,34,2020
T100,115,Abraham Ancer,74,49.18,60,122,40,2020
T100,T106,Kramer Hickok,51,49.18,30,61,18,2020
103,108,Patrick Rodgers,95,49.15,58,118,34,2020
104,109,Ben Taylor,44,49.12,28,57,24,2020
105,110,Jordan Spieth,62,49.09,54,110,37,2020
106,111,Adam Schenk,78,49.07,53,108,36,2020
107,112,Cameron Percy,49,49.06,26,53,21,2020
108,113,Max Homa,70,49.04,51,104,37,2020
109,T121,Scottie Scheffler,82,48.99,73,149,53,2020
110,116,Carlos Ortiz,72,48.67,55,113,29,2020
111,117,Harry Higgs,83,48.65,72,148,48,2020
112,118,Tim Wilkinson,50,48.57,34,70,21,2020
113,119,Zack Sucher,38,48.33,29,60,19,2020
114,120,Brice Garnett,58,48.31,43,89,29,2020
115,T121,Scott Stallings,71,48.28,42,87,38,2020
116,123,Ben Martin,38,48.21,27,56,21,2020
117,T127,Cameron Champ,70,48.18,53,110,31,2020
118,124,Nelson Ledesma,42,48.15,39,81,32,2020
119,125,Joseph Bramlett,57,48.1,38,79,32,2020
120,126,Keith Mitchell,64,48.04,49,102,39,2020
121,T127,Kyle Stanley,57,48,36,75,21,2020
122,129,Troy Merritt,72,47.96,47,98,45,2020
T123,T130,Rickie Fowler,44,47.95,35,73,26,2020
T123,T130,Martin Trainer,48,47.95,35,73,34,2020
T123,T130,Ryan Moore,48,47.95,35,73,22,2020
126,147,Tony Finau,72,47.75,53,111,34,2020
127,133,Sebastian Cappelen,55,47.73,42,88,35,2020
T128,T134,Gary Woodland,62,47.62,50,105,39,2020
T128,T134,Kevin Chappell,41,47.62,30,63,20,2020
130,136,Paul Casey,56,47.5,38,80,27,2020
131,137,Mark Hubbard,86,47.26,69,146,64,2020
T132,T138,Stewart Cink,51,47.17,50,106,35,2020
T132,T138,Matthew Fitzpatrick,54,47.17,50,106,41,2020
134,140,Vaughn Taylor,61,47.01,63,134,60,2020
