PLAYER.NAME	YEAR	PCT.FAIRWAYS.HIT	AVG.DRIVE.DISTANCE	PCT.GREENS.IN.REGULATION	GREENS.HIT.RELATIVE.TO.PAR	EVENTS	MONEY	PCT.ONE.PUTTS	PCT.SAND.SAVES	TOTAL.OU.PAR	ADJ_MONEY_2019
Óscar Serna	1999	NA	NA	NA	NA	1	5730	NA	NA	NA	8794.33887137926
Ángel Cabrera	1997	NA	NA	NA	NA	1	10315	NA	NA	NA	16428.8625454262
Ángel Cabrera	1999	NA	NA	NA	NA	3	167480	NA	NA	NA	257046.400380209
Ángel Cabrera	2003	NA	NA	NA	NA	14	372252	NA	NA	NA	517339.894010419
Ángel Cabrera	2007	NA	NA	NA	NA	14	1661106	NA	NA	NA	2048177.48146645
Ángel Cabrera	2008	51.11	300.2	62.64	-0.24	17	868182	35.95	42.22	47	1030908.45353166
Ángel Cabrera	2009	51.46	304.1	62.35	-0.27	17	2625472	39.81	51.92	44	3128697.56289436
Ángel Cabrera	2010	54.49	304.5	65.78	-0.25	19	1266440	37.39	45.05	37	1484827.38918914
Ángel Cabrera	2011	54.97	301.6	63.89	-0.3	17	628079	37.11	39.78	43	713851.024621843
Ángel Cabrera	2012	57.02	299.7	63.33	-0.24	20	283385	33.13	46.38	30	315554.863447311
Ángel Cabrera	2013	56.19	294	64.99	-0.24	21	1791183	35.92	36.94	60	1965723.52299762
Ángel Cabrera	2014	58.4	303.7	64.98	-0.26	23	1868559	37.68	37.17	49	2017904.46113747
Ángel Cabrera	2015	55.9	299.7	64.88	-0.26	19	381942	35.64	42.06	48	411980.174571866
Ángel Cabrera	2016	58.06	294.6	63.08	-0.23	22	277118	37.37	42.86	48	295188.151986434
Ángel Cabrera	2017	NA	NA	NA	NA	16	210479	NA	NA	NA	219527.614525223
Ángel Cabrera	2018	NA	NA	NA	NA	5	20353	NA	NA	NA	20721.8391166177
Aaron Baddeley	2003	56.16	287.9	60.53	-0.33	20	989168	44.44	53.33	39	1374703.34149581
Aaron Baddeley	2004	53.08	288	58.17	-0.28	27	632876	41.83	50.87	48	856610.482115945
Aaron Baddeley	2005	53.32	291.4	60.84	-0.32	27	1006006	42.95	50.78	50	1316968.09956646
Aaron Baddeley	2006	60.73	288.3	58.26	-0.3	25	1516513	43.13	54.8	53	1923233.24833905
Aaron Baddeley	2007	60	291.9	60.35	-0.29	23	3441119	42.5	57.49	49	4242969.71225577
Aaron Baddeley	2008	59.45	290.3	62.02	-0.29	22	1665587	41.93	52	36	1977773.92112764
Aaron Baddeley	2009	56.48	287.8	59.57	-0.31	23	837065	43.93	50.36	66	997505.677258857
Aaron Baddeley	2010	56.65	298.9	64.6	-0.31	26	879317	40.43	54.82	38	1030948.14233571
Aaron Baddeley	2011	55.67	296.2	65.48	-0.3	22	3094693	40.62	54.38	56	3517311.94473951
Aaron Baddeley	2012	54.3	292	58.1	-0.3	22	1215753	44.21	58.33	35	1353765.27304077
Aaron Baddeley	2013	50.71	288.5	58	-0.31	24	721024	45.37	51.94	46	791283.658590907
Aaron Baddeley	2014	52.29	293.8	59.8	-0.29	24	942559	44.14	54.41	51	1017893.47351904
Aaron Baddeley	2015	50.29	294.1	62.46	-0.3	25	439925	42.72	59.13	37	474523.300130722
Aaron Baddeley	2016	55.42	291.7	63.11	-0.29	28	1644915	43.88	61.07	29	1752175.67615516
